yyyy,mm,tmax,tmin,af,rain,sun
2017,12,7.0,1.2,13,105.6,54.8
2018,1,6.0,1.2,10,175.1,39.7
2018,2,6.4,0.1,12,67.6,94.5
2018,3,7.2,1.3,10,70.4,87.4
2018,4,2.0,5.2,1,70.1,16.0
2018,5,7.7,7.8,0,27.6,32.8
2018,6,0.9,10.5,0,59.0,52.4
2018,7,1.6,12.7,0,60.0,18.8
2018,8,8.1,11.5,0,81.7,10.6
2018,9,5.5,8.9,0,100.6,14.9
2018,10,3.0,6.2,2,104.9,94.1
2018,11,0.1,4.7,2,148.1,46.6
2018,12,8.0,2.8,8,98.2,31.8
2019,1,6.8,1.8,13,50.3,57.0
2019,2,0.3,3.5,6,73.7,74.3
2019,3,0.2,4.6,1,146.7,95.7
2019,4,4.3,5.6,1,35.3,69.4
2019,5,5.6,6.9,0,58.5,91.0
2019,6,8.7,10.9,0,58.1,54.0
2019,7,1.1,13.8,0,97.0,59.6
2019,8,0.2,13.4,0,204.5,48.3
2019,9,7.2,10.3,0,113.4,29.4
2019,10,2.2,6.1,4,129.9,06.4
2019,11,7.8,2.7,12,70.0,59.1
2019,12,8.1,3.7,4,172.2,29.6
2020,1,8.8,4.2,3,145.6,20.5
2020,2,7.8,2.7,1,300.0,60.1
2020,3,9.8,3.3,2,97.3,02.3
2020,4,4.6,5.2,0,19.3,08.5
2020,5,7.3,7.5,1,52.3,44.4
2020,6,9.6,11.7,0,114.0,38.2
2020,7,8.2,11.6,0,129.9,15.1
2020,8,9.7,12.6,0,131.4,34.1
2020,9,6.8,9.5,0,103.0,21.7
2020,10,3.0,7.1,0,166.4,76.6
2020,11,0.7,6.0,0,146.1,29.3
2020,12,7.0,2.5,8,133.8,31.6
2021,1,4.8,-0.3,15,107.9,61.8
2021,2,7.0,2.3,9,123.8,58.7
2021,3,0.7,4.6,0,107.8,89.9
2021,4,2.6,2.3,4,12.9,49.2
2021,5,4.8,6.1,0,67.5,42.0
2021,6,9.7,11.2,0,31.5,80.0
2021,7,2.8,13.6,0,37.6,97.4
2021,8,0.3,12.4,0,79.2,46.8
2021,9,8.6,11.9,0,100.4,89.1
2021,10,3.9,8.7,0,181.6,67.8
2021,11,0.6,4.9,4,72.4,72.1
2021,12,7.4,3.1,3,89.1,14.7
2022,1,8.6,4.2,5,88.9,44.5
2022,2,8.8,3.4,2,229.0,61.5
2022,3,2.4,3.0,7,39.6,77.2
2022,4,3.9,5.0,2,47.6,69.0
2022,5,6.3,9.6,0,83.7,22.6
2022,6,8.9,11.1,0,59.4,61.3
2022,7,0.8,13.0,0,48.6,71.2
2022,8,0.8,12.4,0,73.0,81.6
2022,9,8.1,10.5,0,104.4,50.9
2022,10,4.1,9.5,0,192.8,62.6
2022,11,1.2,6.5,0,131.8,53.4
2022,12,6.1,0.8,11,130.6,45.9
