name,type,priority
location,General Company,"[3, 1, 2]"
category,General Company,"[3, 1, 2]"
stage,General Company,"[3, 1, 2]"
social_media,General Company,"[3, 1, 2]"
age,General Company,"[3, 1, 2]"
create_time,General Company,"[3, 1, 2]"
close_time,General Company,"[3, 1, 2]"
employees,General Company,"[3, 1, 2]"
type,General Company,"[3, 1, 2]"
name,Meta Information,"[3, 1, 2]"
URL,Meta Information,"[3, 1, 2]"
update_time,Meta Information,"[3, 1, 2]"
description,Meta Information,"[3, 1, 2]"
