name,URL,update_time,description,location,category,stage,social_media,age,create_time,close_time,employees,type,source
Powerfoyle,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
un,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
Ports,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
ClimateTrade,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
FlyFeed,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
Limited,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
Climate,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
Nissan,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
AmsterdamDelta,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
IP,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
quantum,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
Quantum,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
Group,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
Cement,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
Jessel,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
Equiums,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
WordPress,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
jargon,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
Influencers,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
eBay,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
Techleap,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
EC,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
Playbook,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
Csuite,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
Hglund,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
Exchanges,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
D2C,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
WFH,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
Verge,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
SpaceTech,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
GSER,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
Legos,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
CTO,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
Kress,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
Gadea,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
Skynetuh,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
Cabinet,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
Theranos,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
Diversity,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
RoomRaccoon,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
Maslow,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
Wilson,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
Discord,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
Ikea,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
Instagram,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
Epic,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
CAC,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
QA,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
Patankar,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
Physical,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
Amazon,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
Accenture,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
Remote,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
Nadkarni,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
Spotifys,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
Myrthe,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
ESG,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
YouTube,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
Nokia,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
DI,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
Channels,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
Ancestral,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
Agritech,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
Freakonomics,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
Calibrate,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
Heres,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
Goodreads,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
Netflix,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
Zoom,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
AgriTech,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
Christchurch,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
Customer,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
emoji,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
CS,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
Nocode,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
XR,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
Bushell,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
giants,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
DMS,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
Vesseur,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
Governments,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
FinTech,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
Ford,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
Pomodoro,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
PricingBot,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
CELLINK,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
Phyre,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
Micromanaging,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
JetBrains,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
Comments,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
Tolerance,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
Agile,None,None,None,None,None,None,None,None,None,None,None,None,4 0 0 0 0 0 0 0 0 0 0 0 0 0
